class,pred,gt
__background__,8,0
goal,12,54
bathroom,7,24
macaroni,2,0
umpire,21,36
toothpick,1,0
ceiling fan,1,0
calculator,0,1
catcher,30,87
toilet,26,49
batter,25,52
stop sign/stopsign,0,3
cone,189,71
microwave/microwave oven,25,15
dugout,17,8
kettle,12,2
kitchen,83,294
refrigerator/fridge,149,108
ostrich,2,0
bathtub,21,22
blinds,93,20
court,179,365
urinal,1,0
knee pads,5,3
bed,264,676
giraffe,5,11
helmet,2109,1469
giraffes,2,0
tennis court,16,19
motorcycle,970,1497
laptop,362,483
tea pot,0,1
horse,1223,1653
television/tv,202,192
shorts,3697,2415
manhole,11,1
dishwasher,21,1
jeans,4818,2219
sail,42,51
monitor,113,144
man,41710,78250
shirt,29515,22585
car,2260,1872
cat,171,264
garage door,11,14
bus,286,705
radiator,1,0
tights,13,19
sailboat/sail boat,8,14
racket/racquet,169,334
plate,582,597
beach,817,1780
trolley,1,13
ocean,266,165
headboard/head board,8,0
tea kettle,0,4
wetsuit,58,159
tennis racket/tennis racquet,4,28
sink,75,109
train,310,505
keyboard,219,179
sky,3948,1838
train station,12,16
stereo,5,0
bats,4,0
lighter,1,0
pepper shaker,3,0
gazebo,1,2
hair dryer,2,12
elephant,137,409
toilet seat,5,1
zebra,7,16
skateboard/skate board,902,1034
floor lamp,2,0
french fries,3,0
woman,22893,37751
player,1073,1738
tower,129,109
bicycle,375,537
magazines,8,0
christmas tree,8,34
umbrella,1058,1107
cow,505,608
pants,5455,2633
bike,2416,3221
field,1194,1992
living room,0,4
latch,4,0
bedroom,2,4
castle,4,6
table,3212,4756
swan,11,12
blender,15,27
orange,7,11
teddy bear,45,63
net,148,206
meter,19,8
runway,2,2
screen,182,282
dog,5316,9989
clock,133,59
hair,20271,4628
skirt,1004,546
frisbee,378,788
parasail,2,1
desk,92,132
pizza,126,160
mouse,53,20
sign,3832,2099
airplane,3,9
jersey,349,219
reigns,1,1
hot dog/hotdog,20,32
surfboard/surf board,509,948
couch,236,683
glass,612,553
snowboard,111,211
girl,5272,7886
plane,129,303
elephants,1,18
oven,49,82
dirt bike,18,26
bear,180,547
washer,6,3
date,13,0
bow tie,10,19
cows,30,55
fire extinguisher,2,1
wallet,19,5
tail feathers,2,0
truck,941,1311
boat,1189,2070
tablet,7,18
ceiling,369,177
chandelier,11,6
sheep,198,239
glasses,2455,1428
kite,178,459
salad,10,5
pillow,401,119
fire hydrant/hydrant,106,60
mug,50,35
tarmac,1,2
computer,86,101
swimsuit,69,33
tomato,12,9
tire,1173,90
cauliflower,5,1
fireplace,23,23
snow,1798,2133
building,5628,5397
sandwich,28,36
bird,456,711
jacket,7659,6185
chair,2025,1402
water,7348,7674
cats,3,0
soccer ball,66,143
horses,92,452
barn,11,8
engine,9,14
cake,145,345
head,14896,3110
skier,53,175
